,,,Sum of DATA YTD Enrolments,,,,,Sum of DATA YTD Commencements,,,,
Year,Month,State,Higher Education,VET,Schools,ELICOS,Non-award,Higher Education,VET,Schools,ELICOS,Non-award
2020,Jan Total,,"286,062","160,716","18,134","49,463","14,874","3,779","21,424","5,960","11,370","2,965"
2020,Feb,NSW,"123,273","74,613","4,387","21,352","11,604","19,330","15,533","1,816","7,468","5,478"
2020,Feb,VIC,"103,815","53,520","6,889","17,401","5,630","6,250","12,121","1,361","5,267","2,662"
2020,Feb,QLD,"44,449","26,098","4,027","12,596","3,906","9,492","5,507","2,030","4,546","2,589"
2020,Feb,SA,"20,509","6,525","2,099","1,959","1,564","4,749","1,568",882,647,558
2020,Feb,WA,"20,743","9,550",667,"3,720","1,235","4,766","2,784",274,"1,309",893
2020,Feb,TAS,"5,759","5,289",294,193,130,"1,375","1,068",171,97,109
2020,Feb,NT,"1,780","1,234",93,140,46,392,458,21,34,28
2020,Feb,ACT,"10,250","2,148",347,186,332,"1,941",646,74,86,221
2020,Feb Total,,"330,578","178,977","18,803","57,547","24,447","48,295","39,685","6,629","19,454","12,538"
2020,Mar,NSW,"129,400","77,610","4,400","24,868","12,415","25,457","18,530","1,829","10,984","6,289"
2020,Mar,VIC,"124,672","57,827","6,892","19,792","7,359","27,107","16,428","1,364","7,658","4,391"
2020,Mar,QLD,"45,341","28,072","4,032","14,502","3,940","10,384","7,481","2,035","6,452","2,623"
2020,Mar,SA,"22,280","7,022","2,108","2,212","1,713","6,520","2,065",891,900,707
2020,Mar,WA,"20,996","10,129",669,"4,315","1,237","5,019","3,363",276,"1,904",895
2020,Mar,TAS,"5,857","5,729",295,242,130,"1,473","1,508",172,146,109
2020,Mar,NT,"1,861","1,410",93,156,47,473,634,21,50,29
2020,Mar,ACT,"10,325","2,279",347,213,332,"2,016",777,74,113,221
2020,Mar Total,,"360,732","190,078","18,836","66,300","27,173","78,449","50,786","6,662","28,207","15,264"
2020,Apr,NSW,"129,599","85,910","4,505","27,324","12,516","25,656","26,830","1,934","13,440","6,390"
2020,Apr,VIC,"124,834","63,657","6,978","21,368","7,367","27,269","22,258","1,450","9,234","4,399"
2020,Apr,QLD,"45,441","30,393","4,214","15,545","3,941","10,484","9,802","2,217","7,495","2,624"
2020,Apr,SA,"22,297","7,757","2,135","2,416","1,774","6,537","2,800",918,"1,104",768
2020,Apr,WA,"21,018","11,301",687,"4,736","1,245","5,041","4,535",294,"2,325",903
2020,Apr,TAS,"5,863","6,132",295,256,130,"1,479","1,911",172,160,109
2020,Apr,NT,"1,862","1,489",93,171,48,474,713,21,65,30
2020,Apr,ACT,"10,339","2,522",354,249,332,"2,030","1,020",81,149,221
2020,Apr Total,,"361,253","209,161","19,261","72,065","27,353","78,970","69,869","7,087","33,972","15,444"
2020,May,NSW,"130,275","90,236","4,512","29,452","12,660","26,332","31,156","1,941","15,568","6,534"
2020,May,VIC,"124,990","67,595","6,980","22,673","7,381","27,425","26,196","1,452","10,539","4,413"
2020,May,QLD,"45,648","31,825","4,224","16,245","3,976","10,691","11,234","2,227","8,195","2,659"
2020,May,SA,"22,376","8,162","2,137","2,530","1,775","6,616","3,205",920,"1,218",769
2020,May,WA,"21,051","11,726",690,"5,005","1,246","5,074","4,960",297,"2,594",904
2020,May,TAS,"5,870","6,405",295,278,130,"1,486","2,184",172,182,109
2020,May,NT,"1,862","1,623",93,181,48,474,847,21,75,30
2020,May,ACT,"10,348","2,636",354,285,332,"2,039","1,134",81,185,221
2020,May Total,,"362,420","220,208","19,285","76,649","27,548","80,137","80,916","7,111","38,556","15,639"
2020,Jun,NSW,"132,807","92,094","4,523","31,809","13,042","28,864","33,014","1,952","17,925","6,916"
2020,Jun,VIC,"126,333","70,442","6,983","23,836","7,658","28,768","29,043","1,455","11,702","4,690"
2020,Jun,QLD,"46,207","33,384","4,228","17,063","4,131","11,250","12,793","2,231","9,013","2,814"
2020,Jun,SA,"22,645","8,541","2,139","2,633","1,799","6,885","3,584",922,"1,321",793
2020,Jun,WA,"21,327","12,231",694,"5,313","1,256","5,350","5,465",301,"2,902",914
2020,Jun,TAS,"5,902","6,632",295,299,130,"1,518","2,411",172,203,109
2020,Jun,NT,"1,865","1,637",93,194,48,477,861,21,88,30
2020,Jun,ACT,"10,395","2,733",354,293,336,"2,086","1,231",81,193,225
2020,Jun Total,,"367,481","227,694","19,309","81,440","28,400","85,198","88,402","7,135","43,347","16,491"
2020,Jul,NSW,"138,624","101,666","4,641","33,271","13,727","34,681","42,586","2,070","19,387","7,601"
2020,Jul,VIC,"132,976","77,396","7,156","25,030","7,943","35,411","35,997","1,628","12,896","4,975"
2020,Jul,QLD,"50,671","36,176","4,372","17,857","4,197","15,714","15,585","2,375","9,807","2,880"
2020,Jul,SA,"24,308","9,399","2,193","2,792","1,969","8,548","4,442",976,"1,480",963
2020,Jul,WA,"23,227","13,669",729,"5,590","1,377","7,250","6,903",336,"3,179","1,035"
2020,Jul,TAS,"6,381","7,095",298,309,139,"1,997","2,874",175,213,118
2020,Jul,NT,"2,078","1,880",102,201,51,690,"1,104",30,95,33
2020,Jul,ACT,"11,570","3,189",360,345,342,"3,261","1,687",87,245,231
2020,Jul Total,,"389,835","250,470","19,851","85,395","29,745","107,552","111,178","7,677","47,302","17,836"
2020,Aug,NSW,"147,039","106,459","4,646","35,406","14,219","43,096","47,379","2,075","21,522","8,093"
